Date/Time,Year,Month,Day,Data Quality,Max Temp (хбC),Max Temp Flag,Min Temp (хбC),Min Temp Flag,Mean Temp (хбC),Mean Temp Flag,Heat Deg Days (хбC),Heat Deg Days Flag,Cool Deg Days (хбC),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2016-01-01,2016,1,1,ха,-5.8,,-12,,-8.9,,26.9,,0,,,M,,M,0,,20,,20,,32,
2016-01-02,2016,1,2,ха,-2.3,,-13.3,,-7.8,,25.8,,0,,,M,,M,0,,20,,33,,43,
2016-01-03,2016,1,3,ха,-6,,-15.8,,-10.9,,28.9,,0,,,M,,M,0,,20,,,,<31,
2016-01-04,2016,1,4,ха,-5.2,,-14.9,,-10.1,,28.1,,0,,,M,,M,0,,20,,19,,56,
2016-01-05,2016,1,5,ха,-5.8,,-15.6,,-10.7,,28.7,,0,,,M,,M,0,,20,,20,,43,
2016-01-06,2016,1,6,ха,-10.5,,-18,,-14.3,,32.3,,0,,,M,,M,0,,20,,,,<31,
2016-01-07,2016,1,7,ха,-8.2,,-15,,-11.6,,29.6,,0,,,M,,M,0,,20,,,,<31,
2016-01-08,2016,1,8,ха,-8.1,,-23.5,,-15.8,,33.8,,0,,,M,,M,0.6,,20,,36,,41,
2016-01-09,2016,1,9,ха,-23.2,,-29.4,,-26.3,,44.3,,0,,,M,,M,0,,20,,,,<31,
2016-01-10,2016,1,10,ха,-23,,-29.7,,-26.4,,44.4,,0,,,M,,M,0,,20,,,,<31,
2016-01-11,2016,1,11,ха,-19.2,,-28.2,,-23.7,,41.7,,0,,,M,,M,1,,20,,,,<31,
2016-01-12,2016,1,12,ха,-20.7,,-28.3,,-24.5,,42.5,,0,,,M,,M,0,,21,,,,<31,
2016-01-13,2016,1,13,ха,-17.8,,-26.3,,-22.1,,40.1,,0,,,M,,M,0.2,,21,,,,<31,
2016-01-14,2016,1,14,ха,-18.9,,-25.5,,-22.2,,40.2,,0,,,M,,M,0,,21,,,,<31,
2016-01-15,2016,1,15,ха,-20,,-28,,-24,,42,,0,,,M,,M,0,,21,,35,,39,
2016-01-16,2016,1,16,ха,-22.9,,-29.1,,-26,,44,,0,,,M,,M,0,,20,,32,,39,
2016-01-17,2016,1,17,ха,-19.8,,-32.3,,-26.1,,44.1,,0,,,M,,M,0.2,,20,,,,<31,
2016-01-18,2016,1,18,ха,-17.7,,-23.5,,-20.6,,38.6,,0,,,M,,M,0,,19,,,,<31,
2016-01-19,2016,1,19,ха,-13,,-23.4,,-18.2,,36.2,,0,,,M,,M,0,,19,,16,,44,
2016-01-20,2016,1,20,ха,-9.3,,-14.8,,-12.1,,30.1,,0,,,M,,M,0.2,,20,,17,,32,
2016-01-21,2016,1,21,ха,-11,,-22.4,,-16.7,,34.7,,0,,,M,,M,0,,20,,,,<31,
2016-01-22,2016,1,22,ха,-8.8,,-20.8,,-14.8,,32.8,,0,,,M,,M,0.2,,19,,17,,69,
2016-01-23,2016,1,23,ха,-4.8,,-9.9,,-7.4,,25.4,,0,,,M,,M,0.9,,19,,19,,61,
2016-01-24,2016,1,24,ха,-6.3,,-11.8,,-9.1,,27.1,,0,,,M,,M,0,,19,,35,,32,
2016-01-25,2016,1,25,ха,-4.7,,-7.6,,-6.2,,24.2,,0,,,M,,M,1.2,,20,,32,,32,
2016-01-26,2016,1,26,ха,-4.8,,-7.3,,-6.1,,24.1,,0,,,M,,M,0,,20,,19,,43,
2016-01-27,2016,1,27,ха,2.6,,-7.1,,-2.3,,20.3,,0,,,M,,M,4,,19,,31,,50,
2016-01-28,2016,1,28,ха,-5.4,,-16.9,,-11.2,,29.2,,0,,,M,,M,0,,19,,17,,46,
2016-01-29,2016,1,29,ха,3.3,,-8.8,,-2.8,,20.8,,0,,,M,,M,0,,19,,17,,63,
2016-01-30,2016,1,30,ха,1.1,,-9.3,,-4.1,,22.1,,0,,,M,,M,0,,19,,26,,37,
2016-01-31,2016,1,31,ха,-6.7,,-10.9,,-8.8,,26.8,,0,,,M,,M,0,,19,,,,<31,
2016-02-01,2016,2,1,ха,-8.2,,-10.3,,-9.3,,27.3,,0,,,M,,M,0.4,,19,,,,<31,
2016-02-02,2016,2,2,ха,-8.5,,-16.1,,-12.3,,30.3,,0,,,M,,M,0,,19,,,,<31,
2016-02-03,2016,2,3,ха,-7.9,,-18.7,,-13.3,,31.3,,0,,,M,,M,0.7,,19,,18,,32,
2016-02-04,2016,2,4,ха,-9.1,,-20.6,,-14.9,,32.9,,0,,,M,,M,0,,19,,,,<31,
2016-02-05,2016,2,5,ха,-7.3,,-16.6,,-12,,30,,0,,,M,,M,0.4,,19,,,,<31,
2016-02-06,2016,2,6,ха,0.6,,-8,,-3.7,,21.7,,0,,,M,,M,0,,20,,15,,37,
2016-02-07,2016,2,7,ха,-0.1,,-13.2,,-6.7,,24.7,,0,,,M,,M,0.2,,19,,34,,67,
2016-02-08,2016,2,8,ха,-11.6,,-21.6,,-16.6,,34.6,,0,,,M,,M,0,,19,,35,,63,
2016-02-09,2016,2,9,ха,-15.2,,-21.6,,-18.4,,36.4,,0,,,M,,M,0,,19,,,,<31,
2016-02-10,2016,2,10,ха,-14.9,,-22.1,,-18.5,,36.5,,0,,,M,,M,0,,18,,,,<31,
2016-02-11,2016,2,11,ха,-12.6,,-21.4,,-17,,35,,0,,,M,,M,0,,18,,,,<31,
2016-02-12,2016,2,12,ха,-20.4,,-27.3,,-23.9,,41.9,,0,,,M,,M,0,,18,,30,,43,
2016-02-13,2016,2,13,ха,-11.7,,-27.9,,-19.8,,37.8,,0,,,M,,M,0,,18,,15,,44,
2016-02-14,2016,2,14,ха,-6.5,,-11.7,,-9.1,,27.1,,0,,,M,,M,1.5,,18,,17,,54,
2016-02-15,2016,2,15,ха,-3.2,,-13,,-8.1,,26.1,,0,,,M,,M,0,,23,,,,<31,
2016-02-16,2016,2,16,ха,-9.1,,-24.2,,-16.7,,34.7,,0,,,M,,M,0,,23,,,,<31,
2016-02-17,2016,2,17,ха,-2,,-24.9,,-13.5,,31.5,,0,,,M,,M,0.2,,23,,19,,46,
2016-02-18,2016,2,18,ха,2.9,,-2.8,,0.1,,17.9,,0,,,M,,M,0,,20,,17,,44,
2016-02-19,2016,2,19,ха,1.3,,0.2,,0.8,,17.2,,0,,,M,,M,1.4,,20,,32,,46,
2016-02-20,2016,2,20,ха,0.4,,-12.8,,-6.2,,24.2,,0,,,M,,M,0.2,,19,,32,,46,
2016-02-21,2016,2,21,ха,-9.7,,-22.8,,-16.3,,34.3,,0,,,M,,M,0,,18,,,,<31,
2016-02-22,2016,2,22,ха,-0.6,,-9.7,,-5.2,,23.2,,0,,,M,,M,0,,19,,18,,37,
2016-02-23,2016,2,23,ха,-2.6,,-11.5,,-7.1,,25.1,,0,,,M,,M,0.2,,19,,,,<31,
2016-02-24,2016,2,24,ха,-4.2,,-13,,-8.6,,26.6,,0,,,M,,M,0,,19,,,,<31,
2016-02-25,2016,2,25,ха,-4.6,,-8.7,,-6.7,,24.7,,0,,,M,,M,0,,20,,34,,37,
2016-02-26,2016,2,26,ха,4.1,,-7.6,,-1.8,,19.8,,0,,,M,,M,0,,19,,19,,37,
2016-02-27,2016,2,27,ха,1.9,,-11.2,,-4.7,,22.7,,0,,,M,,M,0.2,,19,,2,,52,
2016-02-28,2016,2,28,ха,-6.1,,-16.7,,-11.4,,29.4,,0,,,M,,M,1,,26,,2,,61,
2016-02-29,2016,2,29,ха,-16.6,,-26.1,,-21.4,,39.4,,0,,,M,,M,0.2,,19,,35,,52,
2016-03-01,2016,3,1,ха,-10.5,,-25.9,,-18.2,,36.2,,0,,,M,,M,0,,19,,,,<31,
2016-03-02,2016,3,2,ха,-9.5,,-21.6,,-15.6,,33.6,,0,,,M,,M,0,,19,,,,<31,
2016-03-03,2016,3,3,ха,-7.6,,-25,,-16.3,,34.3,,0,,,M,,M,0,,18,,,,<31,
2016-03-04,2016,3,4,ха,-4.5,,-12.6,,-8.6,,26.6,,0,,,M,,M,2,,19,,11,,33,
2016-03-05,2016,3,5,ха,0.1,,-13.7,,-6.8,,24.8,,0,,,M,,M,0,,22,,18,,63,
2016-03-06,2016,3,6,ха,4.8,,-2.9,,1,,17,,0,,,M,,M,0,,19,,18,,50,
2016-03-07,2016,3,7,ха,6.6,,-5.4,,0.6,,17.4,,0,,,M,,M,0.2,,18,,11,,41,
2016-03-08,2016,3,8,ха,3.8,,-5.4,,-0.8,,18.8,,0,,,M,,M,0,,14,,1,,44,
2016-03-09,2016,3,9,ха,-3.2,,-7.2,,-5.2,,23.2,,0,,,M,,M,0,,13,,,,<31,
2016-03-10,2016,3,10,ха,1,,-3.3,,-1.2,,19.2,,0,,,M,,M,0,,12,,18,,52,
2016-03-11,2016,3,11,ха,11.6,,0.9,,6.3,,11.7,,0,,,M,,M,0,,11,,18,,63,
2016-03-12,2016,3,12,,,,,,,,,,,,,,,,,,,,,,,
2016-03-13,2016,3,13,,,,,,,,,,,,,,,,,,,,,,,
2016-03-14,2016,3,14,,,,,,,,,,,,,,,,,,,,,,,
2016-03-15,2016,3,15,,,,,,,,,,,,,,,,,,,,,,,
2016-03-16,2016,3,16,,,,,,,,,,,,,,,,,,,,,,,
2016-03-17,2016,3,17,,,,,,,,,,,,,,,,,,,,,,,
2016-03-18,2016,3,18,,,,,,,,,,,,,,,,,,,,,,,
2016-03-19,2016,3,19,,,,,,,,,,,,,,,,,,,,,,,
2016-03-20,2016,3,20,,,,,,,,,,,,,,,,,,,,,,,
2016-03-21,2016,3,21,,,,,,,,,,,,,,,,,,,,,,,
2016-03-22,2016,3,22,,,,,,,,,,,,,,,,,,,,,,,
2016-03-23,2016,3,23,,,,,,,,,,,,,,,,,,,,,,,
2016-03-24,2016,3,24,,,,,,,,,,,,,,,,,,,,,,,
2016-03-25,2016,3,25,,,,,,,,,,,,,,,,,,,,,,,
2016-03-26,2016,3,26,,,,,,,,,,,,,,,,,,,,,,,
2016-03-27,2016,3,27,,,,,,,,,,,,,,,,,,,,,,,
2016-03-28,2016,3,28,,,,,,,,,,,,,,,,,,,,,,,
2016-03-29,2016,3,29,,,,,,,,,,,,,,,,,,,,,,,
2016-03-30,2016,3,30,,,,,,,,,,,,,,,,,,,,,,,
2016-03-31,2016,3,31,,,,,,,,,,,,,,,,,,,,,,,
2016-04-01,2016,4,1,,,,,,,,,,,,,,,,,,,,,,,
2016-04-02,2016,4,2,,,,,,,,,,,,,,,,,,,,,,,
2016-04-03,2016,4,3,,,,,,,,,,,,,,,,,,,,,,,
2016-04-04,2016,4,4,,,,,,,,,,,,,,,,,,,,,,,
2016-04-05,2016,4,5,,,,,,,,,,,,,,,,,,,,,,,
2016-04-06,2016,4,6,,,,,,,,,,,,,,,,,,,,,,,
2016-04-07,2016,4,7,,,,,,,,,,,,,,,,,,,,,,,
2016-04-08,2016,4,8,,,,,,,,,,,,,,,,,,,,,,,
2016-04-09,2016,4,9,,,,,,,,,,,,,,,,,,,,,,,
2016-04-10,2016,4,10,,,,,,,,,,,,,,,,,,,,,,,
2016-04-11,2016,4,11,,,,,,,,,,,,,,,,,,,,,,,
2016-04-12,2016,4,12,,,,,,,,,,,,,,,,,,,,,,,
2016-04-13,2016,4,13,,,,,,,,,,,,,,,,,,,,,,,
2016-04-14,2016,4,14,,,,,,,,,,,,,,,,,,,,,,,
2016-04-15,2016,4,15,,,,,,,,,,,,,,,,,,,,,,,
2016-04-16,2016,4,16,,,,,,,,,,,,,,,,,,,,,,,
2016-04-17,2016,4,17,,,,,,,,,,,,,,,,,,,,,,,
2016-04-18,2016,4,18,,,,,,,,,,,,,,,,,,,,,,,
2016-04-19,2016,4,19,,,,,,,,,,,,,,,,,,,,,,,
2016-04-20,2016,4,20,,,,,,,,,,,,,,,,,,,,,,,
2016-04-21,2016,4,21,,,,,,,,,,,,,,,,,,,,,,,
2016-04-22,2016,4,22,,,,,,,,,,,,,,,,,,,,,,,
